iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BRA,2002,3507049.44,1624101190
BRB,2002,11.39198156,3343.753575
BRN,2002,1088.845597,664729.5703
BTN,2002,223.9348815,122483.8388
BWA,2002,22.78899863,3893.76859
CAF,2002,34417.72161,15614935.57
CAN,2002,2316887.665,838727146.3
CHE,2002,881.3039027,409052.0213
CHL,2002,78080.97298,23258513.86
CHN,2002,249150.9601,95736746.08
CIV,2002,144559.9075,55683832.07
CMR,2002,28766.95157,14836148.57
COD,2002,514476.6882,278817380.5
COG,2002,24310.14238,12543812.36
COL,2002,182229.1524,96378010.31
COM,2002,41.20393423,22498.36622
CPV,2002,22.8340031,0
CRI,2002,13289.14909,6188298.145
CUB,2002,15035.84738,4104675.386
CUW,2002,1.279283688,326.7395321
CYM,2002,5.598244417,1503.891342
CYP,2002,31.74324402,7055.835847
CZE,2002,6766.437908,2734314.749
DEU,2002,15303.26237,6466765.744
DMA,2002,11.87470804,6881.684978
DNK,2002,1204.489939,292171.777
DOM,2002,10435.97987,3792629.741
DZA,2002,3009.833121,739994.1409
ECU,2002,29817.73772,17772196.96
EGY,2002,48.81325058,16606.65684
ERI,2002,0,309.4623494
ESP,2002,37699.01981,10714843.22
EST,2002,21918.38645,4949270.3
ETH,2002,13074.08741,5485488.338
FIN,2002,142432.404,26698221.21
FJI,2002,703.2099391,352917.8844
FRA,2002,33888.39717,12829281
GAB,2002,13851.84666,7917484.151
GBR,2002,20112.34996,7436889.22
GEO,2002,536.442198,191400.3692
GGY,2002,0.050347617,8.846886737
GHA,2002,78395.05298,32750503.13
GIB,2002,0.12482941,17.75154251
GIN,2002,28933.47429,10752936.28
GLP,2002,50.88541896,19359.55075
GMB,2002,40.15764074,22130.03031
GNB,2002,6073.797259,1838772.537
GNQ,2002,2986.110544,1855232.648
GRC,2002,5126.049313,1138251.016
GRD,2002,65.83774686,34162.84441
GTM,2002,55600.93461,23456703.34
GUF,2002,2496.703749,1874368.607
GUY,2002,4827.394979,3054603.466
HKG,2002,15.61155641,6710.466057
HND,2002,31528.01233,13520359.91
HRV,2002,2340.179492,785186.7889
HTI,2002,2120.380505,698723.5986
HUN,2002,7711.03737,2689525.648
IDN,2002,855275.863,628290349.4
IMN,2002,13.6648598,3495.001407
IND,2002,53005.48774,25903413.63
IRL,2002,5298.280939,2209032.16
IRN,2002,557.752371,133165.1266
IRQ,2002,10.62006031,2203.949781
ISR,2002,111.7306785,26862.20607
ITA,2002,10931.22755,2994848.347
JAM,2002,1647.570637,754938.86
JEY,2002,0.810373894,224.1842068
JOR,2002,0.196107558,54.12785949
JPN,2002,26154.03983,9960965.619
KAZ,2002,2952.306624,709559.5046
KEN,2002,20287.52622,10056533.34
KGZ,2002,305.4574798,65886.75864
KHM,2002,54862.0762,27529476.39
KNA,2002,19.79075058,7520.772354
KOR,2002,4705.326872,1175202.529
LAO,2002,55936.73071,27825149.97
LBN,2002,81.20045904,19382.62697
LBR,2002,56984.42382,26648464.86
LBY,2002,40.24566353,6062.424883
LCA,2002,10.91096809,5621.3752
LKA,2002,3427.680386,1228143.064
LSO,2002,2.687139564,899.2581193
LTU,2002,10344.83819,2721769.751
LUX,2002,90.45691516,43326.76579
LVA,2002,29175.98819,7448035.555
MAC,2002,0.928207381,0
MAF,2002,5.418846674,1921.328034
MAR,2002,3923.517827,1091663.905
MDA,2002,229.7964207,61971.96126
MDG,2002,89317.51419,42899565.86
MDV,2002,4.588154946,129.6427223
MEX,2002,158834.1254,51607513.27
MKD,2002,890.1837635,282976.7957
MLI,2002,175.2904428,67907.0829
MLT,2002,1.752961399,410.6095305
MMR,2002,66119.68071,33347158.37
MNE,2002,179.6207712,73886.12418
MNG,2002,18728.01995,4761637.371
MOZ,2002,106658.3376,33465970.93
MSR,2002,1.62272987,843.0248009
MTQ,2002,48.86224871,23533.11412
MUS,2002,154.4299605,77533.47698
MWI,2002,4189.572628,1688758.734
MYS,2002,312553.7873,144023969.1
MYT,2002,20.86919036,10937.57911
NAM,2002,108.0072182,23738.22704
NCL,2002,626.8680588,238070.9224
NER,2002,0.676416444,124.759059
NGA,2002,32346.71006,11546192.3
NIC,2002,54194.49469,26924555.23
NLD,2002,824.5813586,286726.0111
NOR,2002,26635.75319,5538400.652
NPL,2002,2128.64331,1183634.575
NZL,2002,63227.9271,27443195.72
PAK,2002,325.0117524,113491.2836
PAN,2002,19200.13718,9473606.079
PER,2002,80452.08582,49128368.54
PHL,2002,32309.18926,17539558.48
PLW,2002,75.30077104,57681.50494
PNG,2002,54575.5022,38265772.1
POL,2002,31070.13979,9241773.335
PRI,2002,1168.095778,491603.8993
PRK,2002,5358.227207,1253443.893
PRT,2002,34903.34915,8756077.224
PRY,2002,195124.6398,50509117.24
PSE,2002,1.830287115,383.7099218
REU,2002,502.6683752,213660.7243
ROU,2002,16356.44545,6630173.989
RUS,2002,2700384.154,359386615.4
RWA,2002,941.338718,323764.3341
SDN,2002,76.10035582,19621.39429
SEN,2002,164.4305544,93460.45799
SGP,2002,123.516999,44666.05365
SLB,2002,3866.106668,2886008.388
SLE,2002,15310.24197,5384391.598
SLV,2002,4666.509817,1773630.609
SMR,2002,0.111479129,20.58133285
SOM,2002,250.8913304,53579.31082
SPM,2002,0.105856563,3.082851642
SRB,2002,1134.989088,447296.5229
SSD,2002,8148.679824,1980811.731
SUR,2002,3717.477562,2697484.576
SVK,2002,4015.732505,1737594.639
SVN,2002,723.8725078,307585.849
SWE,2002,178264.0808,34394080.64
SWZ,2002,3800.765838,2297033.324
SXM,2002,0.439427723,118.5065267
SYC,2002,0.227775334,63.89734246
SYR,2002,147.9991941,39812.48003
TCA,2002,4.652026517,877.8610681
TCD,2002,1958.47583,587772.9197
TGO,2002,2020.785483,534935.6817
THA,2002,60882.18974,31196734.54
TJK,2002,36.63912049,10038.29788
TKM,2002,105.1787401,28224.66801
TLS,2002,1604.598898,889264.5317
TTO,2002,726.0770093,331545.1189
TUN,2002,243.8717387,59493.21539
TUR,2002,25722.22142,5932168.721
TWN,2002,1004.574022,496630.2996
TZA,2002,85080.90089,28160740.35
UGA,2002,10840.69681,3672923.278
UKR,2002,27077.01971,8129073.906
UMI,2002,6.505533058,0
URY,2002,6870.11867,1739726.592
USA,2002,2038435.691,658254504.8
UZB,2002,265.2317188,58050.15293
VCT,2002,7.945998949,4019.482563
VEN,2002,90372.37708,34130931.83
VGB,2002,2.996441556,1199.331255
VIR,2002,20.90283313,8425.102441
VNM,2002,49625.43782,23993061.27
VUT,2002,108.2396496,59072.60747
XAD,2002,0.507202227,143.618419
XCA,2002,23.39391396,2012.998765
XKO,2002,214.9078823,85581.14974
XNC,2002,3.340847417,655.6893139
ZAF,2002,47679.93414,23675554.87
ZMB,2002,46240.24361,16580450.2
ZWE,2002,8016.170851,2843428.048
ABW,2003,0.9770576,66.37229485
AFG,2003,244.3362552,45740.83692
AGO,2003,52461.54547,16510730.38
AIA,2003,1.097745085,181.2565535
ALA,2003,220.7748552,44237.58909
ALB,2003,613.533965,178360.8084
AND,2003,0.342063642,121.8147281
ARG,2003,249155.0069,48861652.19
ARM,2003,395.8166949,130005.875
ATG,2003,17.07802261,5373.373679
AUS,2003,373846.6091,59693292.89
AUT,2003,14475.69483,5807854.171
AZE,2003,1039.341551,322884.2754
BDI,2003,1325.183318,494910.8464
BEL,2003,1889.777513,903235.8804
BEN,2003,3475.926415,987160.0142
BES,2003,16.15018967,0
BFA,2003,2.038243484,778.1502592
BGD,2003,2159.457158,1024989.805
BGR,2003,5198.715558,1698327.646
BHS,2003,274.2308763,60791.16607
BIH,2003,307.8114117,116948.62
BLR,2003,32119.38156,9208734.056
BLZ,2003,6843.896175,3020956.9
BMU,2003,0.130570243,26.45829277
BOL,2003,163759.0988,78095428.48
BRA,2003,3248526.734,1488845268
BRB,2003,2.997849387,870.8517833
BRN,2003,799.1767213,472687.3882
BTN,2003,543.6007673,262277.8571
BWA,2003,8.572551344,1600.824557
CAF,2003,13726.63788,6836274.262
CAN,2003,1607282.58,556692945.7
CHE,2003,433.2828851,195089.5653
CHL,2003,82843.76404,26192916.41
CHN,2003,261761.4952,89970955.81
CIV,2003,86282.29679,33321766.53
CMR,2003,25344.84636,13440203.95
COD,2003,274739.9994,142689618.5
COG,2003,18514.84252,9712906.693
COL,2003,122417.1448,59678844.65
COM,2003,26.65331395,12437.13124
CPV,2003,8.925222414,0
CRI,2003,8260.607755,4166373.153
CUB,2003,6556.683915,2121605.549
CUW,2003,0.827957708,177.2526493
CYM,2003,6.324797604,1672.473146
CYP,2003,25.22916781,5342.660439
CZE,2003,3925.277971,1656554.8
DEU,2003,6448.617531,2931442.223
DMA,2003,27.23870244,15702.47275
DNK,2003,1579.71326,386542.154
DOM,2003,10714.00158,4247803.796
DZA,2003,3831.437113,1026669.183
ECU,2003,13835.72643,8224250.791
EGY,2003,61.01187804,26121.68024
ESP,2003,23315.39344,6903012.799
EST,2003,5632.561979,1366104.178
ETH,2003,13936.04122,6524728.902
FIN,2003,89696.55115,16480034.66
FJI,2003,1572.235904,780956.2075
FRA,2003,26393.33418,9844093.413
GAB,2003,16845.22031,9855373.394
GBR,2003,1875.16737,601649.6965
GEO,2003,292.002685,109161.6135
GHA,2003,24955.24902,10104210.86
GIN,2003,9229.458009,3503326.915
GLP,2003,76.87749934,30173.66066
GMB,2003,10.56543665,3438.308965
GNB,2003,1021.877364,324497.7943
GNQ,2003,1961.187536,1189088.321
GRC,2003,2562.535174,593446.6709
GRD,2003,71.34625369,37312.33487
GTM,2003,98173.67565,37111592.54
GUF,2003,1889.081601,1384170.714
GUY,2003,7418.606943,4565139.746
HKG,2003,7.057239355,3422.34627
HND,2003,33624.77328,14391193.57
HRV,2003,1738.980492,610922.3174
HTI,2003,1070.162075,384122.8807
HUN,2003,5733.022733,2062624.719
IDN,2003,544810.2966,427375749.2
IMN,2003,1.817298033,522.6749384
IND,2003,47750.63815,23489529.19
IRL,2003,2262.865182,966534.5192
IRN,2003,326.6750206,77010.4143
IRQ,2003,19.61672495,8989.79351
ISR,2003,30.17165819,6653.143779
ITA,2003,3613.191038,924772.2271
JAM,2003,1029.274034,457307.3855
JOR,2003,0.065259603,6.134463931
JPN,2003,19747.36425,7660006.073
KAZ,2003,3351.858901,632977.1825
KEN,2003,13552.81076,6251008.636
KGZ,2003,110.7895604,21514.36492
KHM,2003,56839.5435,27791870.6
KNA,2003,32.14738442,13907.79781
KOR,2003,3611.332973,979457.2278
LAO,2003,87074.13238,43143219.88
LBN,2003,83.57542339,20611.54234
LBR,2003,21604.81357,10248231.27
LBY,2003,25.26571737,5077.111906
LCA,2003,19.4266862,9412.321856
LKA,2003,3149.494821,1160355.974
LSO,2003,2.484692584,763.3571536
LTU,2003,8916.009263,2416055.269
LUX,2003,103.4199707,49146.3733
LVA,2003,21321.4159,5722945.7
MAF,2003,3.295436471,1223.736372
MAR,2003,2042.52646,594835.4255
MDA,2003,100.5993463,27311.84621
MDG,2003,84247.95977,38189164.51
MDV,2003,2.142708274,33.09228796
MEX,2003,152559.2962,49558165.67
MKD,2003,895.2280943,304990.013
MLI,2003,34.24351147,12391.21079
MMR,2003,77224.46441,39571015.75
MNE,2003,203.6859679,55594.83507
MNG,2003,38433.831,12878718.98
MOZ,2003,79643.95853,26004030.16
MRT,2003,1.256266299,192.4024988
MSR,2003,2.286058313,1032.234972
MTQ,2003,288.4695298,142619.1887
MUS,2003,119.6302621,52962.3212
MWI,2003,7112.996717,2778116.267
MYS,2003,183911.2165,107979872.8
MYT,2003,30.92584943,15639.78588
NAM,2003,208.6842167,53695.94509
NCL,2003,883.9158608,372924.754
NER,2003,0.224596165,34.57067031
